date,rate,country
"1995-02-01","5.92","US"
"1995-03-01","5.98","US"
"1995-04-01","6.05","US"
"1995-05-01","6.01","US"
"1995-06-01","6.00","US"
"1995-07-01","5.85","US"
"1995-08-01","5.74","US"
"1995-09-01","5.80","US"
"1995-10-01","5.76","US"
"1995-11-01","5.80","US"
"1995-12-01","5.60","US"
"1996-01-01","5.56","US"
"1996-02-01","5.22","US"
"1996-03-01","5.31","US"
"1996-04-01","5.22","US"
"1996-05-01","5.24","US"
"1996-06-01","5.27","US"
"1996-07-01","5.40","US"
"1996-08-01","5.22","US"
"1996-09-01","5.30","US"
"1996-10-01","5.24","US"
"1996-11-01","5.31","US"
"1996-12-01","5.29","US"
"1997-01-01","5.25","US"
"1997-02-01","5.19","US"
"1997-03-01","5.39","US"
"1997-04-01","5.51","US"
"1997-05-01","5.50","US"
"1997-06-01","5.56","US"
"1997-07-01","5.52","US"
"1997-08-01","5.54","US"
"1997-09-01","5.54","US"
"1997-10-01","5.50","US"
"1997-11-01","5.52","US"
"1997-12-01","5.50","US"
"1998-01-01","5.56","US"
"1998-02-01","5.51","US"
"1998-03-01","5.49","US"
"1998-04-01","5.45","US"
"1998-05-01","5.49","US"
"1998-06-01","5.56","US"
"1998-07-01","5.54","US"
"1998-08-01","5.55","US"
"1998-09-01","5.51","US"
"1998-10-01","5.07","US"
"1998-11-01","4.83","US"
"1998-12-01","4.68","US"
"1999-01-01","4.63","US"
"1999-02-01","4.76","US"
"1999-03-01","4.81","US"
"1999-04-01","4.74","US"
"1999-05-01","4.74","US"
"1999-06-01","4.76","US"
"1999-07-01","4.99","US"
"1999-08-01","5.07","US"
"1999-09-01","5.22","US"
"1999-10-01","5.20","US"
"1999-11-01","5.42","US"
"1999-12-01","5.30","US"
"2000-01-01","5.45","US"
"2000-02-01","5.73","US"
"2000-03-01","5.85","US"
"2000-04-01","6.02","US"
"2000-05-01","6.27","US"
"2000-06-01","6.53","US"
"2000-07-01","6.54","US"
"2000-08-01","6.50","US"
"2000-09-01","6.52","US"
"2000-10-01","6.51","US"
"2000-11-01","6.51","US"
"2000-12-01","6.40","US"
"2001-01-01","5.98","US"
"2001-02-01","5.49","US"
"2001-03-01","5.31","US"
"2001-04-01","4.8","US"
"2001-05-01","4.21","US"
"2001-06-01","3.97","US"
"2001-07-01","3.77","US"
"2001-08-01","3.65","US"
"2001-09-01","3.07","US"
"2001-10-01","2.49","US"
"2001-11-01","2.09","US"
"2001-12-01","1.82","US"
"2002-01-01","1.73","US"
"2002-02-01","1.74","US"
"2002-03-01","1.73","US"
"2002-04-01","1.75","US"
"2002-05-01","1.75","US"
"2002-06-01","1.75","US"
"2002-07-01","1.73","US"
"2002-08-01","1.74","US"
"2002-09-01","1.75","US"
"2002-10-01","1.75","US"
"2002-11-01","1.34","US"
"2002-12-01","1.24","US"
"2003-01-01","1.24","US"
"2003-02-01","1.26","US"
"2003-03-01","1.25","US"
"2003-04-01","1.26","US"
"2003-05-01","1.26","US"
"2003-06-01","1.22","US"
"2003-07-01","1.01","US"
"2003-08-01","1.03","US"
